Country,Population,Continent,Region
Algeria,46.8,AFRICA,NORTHERN AFRICA
Egypt,105.2,AFRICA,NORTHERN AFRICA
Libya,6.9,AFRICA,NORTHERN AFRICA
Morocco,37.0,AFRICA,NORTHERN AFRICA
Sudan,48.1,AFRICA,NORTHERN AFRICA
Tunisia,11.9,AFRICA,NORTHERN AFRICA
Western Sahara,0.6,AFRICA,NORTHERN AFRICA
Benin,13.7,AFRICA,WESTERN AFRICA
Burkina Faso,22.9,AFRICA,WESTERN AFRICA
Cape Verde,0.6,AFRICA,WESTERN AFRICA
Cote d'Ivoire,30.9,AFRICA,WESTERN AFRICA
Gambia,2.8,AFRICA,WESTERN AFRICA
Ghana,34.1,AFRICA,WESTERN AFRICA
Guinea,14.2,AFRICA,WESTERN AFRICA
GuineaBissau,2.2,AFRICA,WESTERN AFRICA
Liberia,5.4,AFRICA,WESTERN AFRICA
Mali,23.3,AFRICA,WESTERN AFRICA
Mauritania,4.9,AFRICA,WESTERN AFRICA
Niger,27.2,AFRICA,WESTERN AFRICA
Nigeria,223.8,AFRICA,WESTERN AFRICA
Senegal,18.3,AFRICA,WESTERN AFRICA
Sierra Leone,8.9,AFRICA,WESTERN AFRICA
Togo,9.1,AFRICA,WESTERN AFRICA
Burundi,13.2,AFRICA,EASTERN AFRICA
Comoros,0.9,AFRICA,EASTERN AFRICA
Djibouti,1.1,AFRICA,EASTERN AFRICA
Eritrea,3.7,AFRICA,EASTERN AFRICA
Ethiopia,126.5,AFRICA,EASTERN AFRICA
Kenya,55.1,AFRICA,EASTERN AFRICA
Madagascar,30.4,AFRICA,EASTERN AFRICA
Malawi,19.8,AFRICA,EASTERN AFRICA
Mauritius,1.3,AFRICA,EASTERN AFRICA
Mayotte,0.3,AFRICA,EASTERN AFRICA
Mozambique,33.9,AFRICA,EASTERN AFRICA
Reunion,0.9,AFRICA,EASTERN AFRICA
Rwanda,14.1,AFRICA,EASTERN AFRICA
Seychelles,0.1,AFRICA,EASTERN AFRICA
Somalia,18.1,AFRICA,EASTERN AFRICA
South Sudan,11.1,AFRICA,EASTERN AFRICA
Tanzania,67.4,AFRICA,EASTERN AFRICA
Uganda,48.6,AFRICA,EASTERN AFRICA
Zambia,20.2,AFRICA,EASTERN AFRICA
Zimbabwe,16.7,AFRICA,EASTERN AFRICA
Angola,36.7,AFRICA,MIDDLE AFRICA
Cameroon,28.1,AFRICA,MIDDLE AFRICA
Central African Republic,6.2,AFRICA,MIDDLE AFRICA
Chad,18.3,AFRICA,MIDDLE AFRICA
Congo,6.1,AFRICA,MIDDLE AFRICA
Congo DR,102.3,AFRICA,MIDDLE AFRICA
Equatorial Guinea,1.7,AFRICA,MIDDLE AFRICA
Gabon,2.4,AFRICA,MIDDLE AFRICA
Sao Tome and Principe,0.2,AFRICA,MIDDLE AFRICA
Botswana,2.7,AFRICA,SOUTHERN AFRICA
eSwatini,1.2,AFRICA,SOUTHERN AFRICA
Lesotho,2.3,AFRICA,SOUTHERN AFRICA
Namibia,2.6,AFRICA,SOUTHERN AFRICA
South Africa,60.7,AFRICA,SOUTHERN AFRICA
Canada,40.1,NORTHERN AMERICA,NORTHERN AMERICA
United States,335.0,NORTHERN AMERICA,NORTHERN AMERICA
Belize,0.5,LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA
Costa Rica,5.3,LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA
El Salvador,6.4,LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA
Guatemala,18.1,LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA
Honduras,9.7,LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA
Mexico,131.0,LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA
Nicaragua,6.8,LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA
Panama,4.5,LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA
Antigua and Barbuda,0.1,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN
Bahamas,0.4,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN
Barbados,0.3,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN
Cuba,11.0,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN
Curacao,0.1,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN
Dominica,0.1,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN
Dominican Republic,11.3,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN
Grenada,0.1,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN
Guadeloupe,0.4,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN
Haiti,11.6,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN
Jamaica,2.8,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN
Martinique,0.3,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN
Puerto Rico,3.3,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN
St. Kitts and Nevis,0.1,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN
St. Lucia,0.2,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN
St. Vincent and the Grenadines,0.1,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN
Trinidad and Tobago,1.4,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN
Argentina,46.3,LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA
Bolivia,12.2,LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA
Brazil,204.0,LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA
Chile,20.0,LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA
Colombia,52.2,LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA
Ecuador,17.1,LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA
French Guiana,0.3,LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA
Guyana,0.8,LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA
Paraguay,6.2,LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA
Peru,33.8,LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA
Suriname,0.6,LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA
Uruguay,3.6,LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA
Venezuela,28.8,LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA
Armenia,3.0,ASIA,WESTERN ASIA
Azerbaijan,10.2,ASIA,WESTERN ASIA
Bahrain,1.6,ASIA,WESTERN ASIA
Cyprus,1.3,ASIA,WESTERN ASIA
Georgia,3.8,ASIA,WESTERN ASIA
Iraq,45.5,ASIA,WESTERN ASIA
Israel,9.8,ASIA,WESTERN ASIA
Jordan,11.4,ASIA,WESTERN ASIA
Kuwait,4.4,ASIA,WESTERN ASIA
Lebanon,5.4,ASIA,WESTERN ASIA
Oman,5.0,ASIA,WESTERN ASIA
Palestinian Territory,5.5,ASIA,WESTERN ASIA
Qatar,2.7,ASIA,WESTERN ASIA
Saudi Arabia,36.9,ASIA,WESTERN ASIA
Syria,23.2,ASIA,WESTERN ASIA
Turkey,85.6,ASIA,WESTERN ASIA
United Arab Emirates,9.5,ASIA,WESTERN ASIA
Yemen,34.4,ASIA,WESTERN ASIA
Kazakhstan,19.9,ASIA,CENTRAL ASIA
Kyrgyzstan,6.8,ASIA,CENTRAL ASIA
Tajikistan,10.2,ASIA,CENTRAL ASIA
Turkmenistan,7.1,ASIA,CENTRAL ASIA
Uzbekistan,36.4,ASIA,CENTRAL ASIA
Afghanistan,42.4,ASIA,SOUTH ASIA
Bangladesh,173.5,ASIA,SOUTH ASIA
Bhutan,0.8,ASIA,SOUTH ASIA
India,1428.6,ASIA,SOUTH ASIA
Iran,89.2,ASIA,SOUTH ASIA
Maldives,0.6,ASIA,SOUTH ASIA
Nepal,30.9,ASIA,SOUTH ASIA
Pakistan,240.5,ASIA,SOUTH ASIA
Sri Lanka,22.7,ASIA,SOUTH ASIA
Brunei,0.4,ASIA,SOUTHEAST ASIA
Cambodia,17.0,ASIA,SOUTHEAST ASIA
Indonesia,278.7,ASIA,SOUTHEAST ASIA
Laos,7.5,ASIA,SOUTHEAST ASIA
Malaysia,33.4,ASIA,SOUTHEAST ASIA
Myanmar,55.4,ASIA,SOUTHEAST ASIA
Philippines,117.3,ASIA,SOUTHEAST ASIA
Singapore,5.8,ASIA,SOUTHEAST ASIA
Thailand,66.0,ASIA,SOUTHEAST ASIA
Timor Leste,1.4,ASIA,SOUTHEAST ASIA
Vietnam,98.9,ASIA,SOUTHEAST ASIA
China,1411.3,ASIA,EAST ASIA
China (Hong Kong SAR),7.3,ASIA,EAST ASIA
China (Macao SAR),0.7,ASIA,EAST ASIA
Japan,124.5,ASIA,EAST ASIA
Korea (North),26.2,ASIA,EAST ASIA
Korea (South),51.4,ASIA,EAST ASIA
Mongolia,3.5,ASIA,EAST ASIA
Taiwan,23.4,ASIA,EAST ASIA
Denmark,5.9,EUROPE,NORTHERN EUROPE
Estonia,1.4,EUROPE,NORTHERN EUROPE
Finland,5.6,EUROPE,NORTHERN EUROPE
Iceland,0.4,EUROPE,NORTHERN EUROPE
Ireland,5.2,EUROPE,NORTHERN EUROPE
Latvia,1.9,EUROPE,NORTHERN EUROPE
Lithuania,2.9,EUROPE,NORTHERN EUROPE
Norway,5.5,EUROPE,NORTHERN EUROPE
Sweden,10.5,EUROPE,NORTHERN EUROPE
United Kingdom,68.1,EUROPE,NORTHERN EUROPE
Austria,9.2,EUROPE,WESTERN EUROPE
Belgium,11.8,EUROPE,WESTERN EUROPE
France,65.9,EUROPE,WESTERN EUROPE
Germany,84.9,EUROPE,WESTERN EUROPE
Liechtenstein,0.0,EUROPE,WESTERN EUROPE
Luxembourg,0.7,EUROPE,WESTERN EUROPE
Monaco,0.0,EUROPE,WESTERN EUROPE
Netherlands,17.9,EUROPE,WESTERN EUROPE
Switzerland,8.8,EUROPE,WESTERN EUROPE
Belarus,9.2,EUROPE,EASTERN EUROPE
Bulgaria,6.4,EUROPE,EASTERN EUROPE
Czechia,10.9,EUROPE,EASTERN EUROPE
Hungary,9.6,EUROPE,EASTERN EUROPE
Moldova,3.4,EUROPE,EASTERN EUROPE
Poland,37.7,EUROPE,EASTERN EUROPE
Romania,19.1,EUROPE,EASTERN EUROPE
Russia,146.9,EUROPE,EASTERN EUROPE
Slovakia,5.4,EUROPE,EASTERN EUROPE
Ukraine,36.7,EUROPE,EASTERN EUROPE
Albania,2.7,EUROPE,SOUTHERN EUROPE
Andorra,0.1,EUROPE,SOUTHERN EUROPE
Bosnia Herzegovina,3.4,EUROPE,SOUTHERN EUROPE
Croatia,3.8,EUROPE,SOUTHERN EUROPE
Greece,10.6,EUROPE,SOUTHERN EUROPE
Italy,58.8,EUROPE,SOUTHERN EUROPE
Kosovo,1.7,EUROPE,SOUTHERN EUROPE
Malta,0.6,EUROPE,SOUTHERN EUROPE
Montenegro,0.6,EUROPE,SOUTHERN EUROPE
North Macedonia,1.8,EUROPE,SOUTHERN EUROPE
Portugal,10.5,EUROPE,SOUTHERN EUROPE
San Marino,0.0,EUROPE,SOUTHERN EUROPE
Serbia,6.6,EUROPE,SOUTHERN EUROPE
Slovenia,2.1,EUROPE,SOUTHERN EUROPE
Spain,48.3,EUROPE,SOUTHERN EUROPE
Australia,26.6,OCEANIA,OCEANIA
Federated States of Micronesia,0.1,OCEANIA,OCEANIA
Fiji,0.9,OCEANIA,OCEANIA
French Polynesia,0.3,OCEANIA,OCEANIA
Guam,0.2,OCEANIA,OCEANIA
Kiribati,0.1,OCEANIA,OCEANIA
Marshall Islands,0.1,OCEANIA,OCEANIA
Nauru,0.0,OCEANIA,OCEANIA
New Caledonia,0.3,OCEANIA,OCEANIA
New Zealand,5.2,OCEANIA,OCEANIA
Palau,0.0,OCEANIA,OCEANIA
Papua New Guinea,9.5,OCEANIA,OCEANIA
Samoa,0.2,OCEANIA,OCEANIA
Solomon Islands,0.8,OCEANIA,OCEANIA
Tonga,0.1,OCEANIA,OCEANIA
Tuvalu,0.0,OCEANIA,OCEANIA
Vanuatu,0.3,OCEANIA,OCEANIA
